"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"426","32.355320411031215","32.355320411031215","32.355320411031215"
"427","32.47425409580589","32.47425409580589","32.47425409580589"
"428","33.04205138689301","33.04205138689301","33.04205138689301"
"429","33.05886508018172","33.05886508018172","33.05886508018172"
"430","33.1144217021337","33.1144217021337","33.1144217021337"
"431","33.09815730564689","33.09815730564689","33.09815730564689"
"432","33.1434023337513","33.1434023337513","33.1434023337513"
"433","32.254848264320906","32.254848264320906","32.254848264320906"
"434","32.90003482096873","32.90003482096873","32.90003482096873"
"435","32.83156886427358","32.83156886427358","32.83156886427358"
"436","33.142975679511004","33.142975679511004","33.142975679511004"
"437","33.51342110873746","33.51342110873746","33.51342110873746"
"438","33.725971797128594","33.725971797128594","33.725971797128594"
"439","33.64585279178006","33.64585279178006","33.64585279178006"
"440","33.6324364029443","33.6324364029443","33.6324364029443"
"441","33.663830119018826","33.663830119018826","33.663830119018826"
"442","33.7943730988919","33.7943730988919","33.7943730988919"
"443","33.97594702588462","33.97594702588462","33.97594702588462"
"444","33.87528509710518","33.87528509710518","33.87528509710518"
"445","33.91532021901638","33.91532021901638","33.91532021901638"
"446","33.97588911112466","33.97588911112466","33.97588911112466"
"447","34.03547638202649","34.03547638202649","34.03547638202649"
"448","34.30700694760923","34.30700694760923","34.30700694760923"
"449","34.31792157321852","34.31792157321852","34.31792157321852"
"450","34.391336317962924","34.391336317962924","34.391336317962924"
"451","34.35649188564934","34.35649188564934","34.35649188564934"
"452","34.34829518075876","34.34829518075876","34.34829518075876"
"453","34.306381158212496","34.306381158212496","34.306381158212496"
"454","34.064976156259256","34.064976156259256","34.064976156259256"
"455","34.1084297980076","34.1084297980076","34.1084297980076"
"456","34.084761868658134","34.084761868658134","34.084761868658134"
"457","33.99150481184817","33.99150481184817","33.99150481184817"
"458","33.86450736007642","33.86450736007642","33.86450736007642"
"459","33.54558473727422","33.54558473727422","33.54558473727422"
"460","33.880746884376165","33.880746884376165","33.880746884376165"
"461","33.784472879583376","33.784472879583376","33.784472879583376"
"462","34.30750566758437","34.30750566758437","34.30750566758437"
"463","34.0015453862747","34.0015453862747","34.0015453862747"
"464","33.67632128585177","33.67632128585177","33.67632128585177"
"465","33.616859007142956","33.616859007142956","33.616859007142956"
"466","33.43669299120829","33.43669299120829","33.43669299120829"
"467","33.33869511949364","33.33869511949364","33.33869511949364"
"468","33.060998253664","33.060998253664","33.060998253664"
"469","32.979674736941234","32.979674736941234","32.979674736941234"
"470","32.55992932877969","32.55992932877969","32.55992932877969"
